id,user,name,desc,steps,post_time
13,69,french onion soup  the cook s illustrated way,"i used to caramelize the onions on the stove top, but now i use this fantastic method. finally, a way to make genuine french onion soup without all of the stirring. while it still takes quite some time, the onions are roasted in the oven. 
sweet onions, such as vidalia or walla walla, will make this recipe overly sweet, so use yellow or red, or a combo of both.
use broiler-safe crocks and keep the rim of the bowls 4 to 5 inches from the broiler to obtain a proper melting of the cheeses. 
cooks illustrated chefs prefer using swanson certified organic free range chicken broth and pacific beef broth, tho others will do fine as well. there is actually more flavor and depth in chicken broth than in beef and that is why they combine it with the beef broth. 
much of the cooking time is passive...and the aroma makes the kitchen smell divine!
for the best flavor, make the soup a day or 2 in advance, it also freezes well in 2 gallon freezer bags. 
prep time includes the soup and the croutons. cooking time is approximate, please use your judgment.
i make this every christmas eve along with appetizers and those that missed christmas eve insist on having a bowl on christmas morning! lol it truly is the best french onion soup i have ever tasted. for those special occasions, try this one. hope you enjoy!","for the soup:
adjust oven rack to lower-middle position and heat oven to 400
generously spray inside of heavy-bottomed large dutch oven with nonstick cooking spray
place butter in pot and add onions and 1 teaspoon salt
cook , covered , 1 hour
remove pot from oven and stir onions , scraping bottom and sides of pot
return pot to oven with lid slightly ajar and continue to cook until onions are very soft and golden brown , 1 1 / 2 to 1 3 / 4 hours longer , stirring onions and scraping bottom and sides of pot after 1 hour
carefully remove pot from oven and place over medium-high heat
using oven mitts to handle pot , cook onions , stirring frequently and scraping bottom and sides of pot , until liquid evaporates and onions brown , 15 to 20 minutes , reducing heat to medium if onions are browning too quickly
continue to cook , stirring frequently , until pot bottom is coated with dark crust , 6 to 8 minutes , adjusting heat as necessary
stir in 1 / 4 cup water , scraping pot bottom to loosen crust , and cook until water evaporates and pot bottom has formed another dark crust , 6 to 8 minutes
repeat process of deglazing 2 or 3 more times , until onions are very dark brown
stir in wine and balsamic vinegar , stirring frequently , until wine evaporates , about 5 minutes
stir in broths , 2 cups water , the thyme , bay leaf and parsley and 1 / 2 teaspoon salt , scraping up any final bits of browned crust on bottom and sides of pot
increase heat to high and bring to simmer
reduce heat to low , cover , and simmer 30 minutes
remove and discard herbs , then season with salt and pepper to taste
for the croutons: while soup simmers , arrange baguette slices in single layer on baking sheet and bake in 400-degree oven until bread is dry , crisp , and golden at edges , about 10 minutes
set aside
to serve: adjust oven rack 4 to 6 inches from broiler and heat broiler
set heat-safe soup bowls or crocks on rimmed baking sheet and fill each with about 1 1 / 2 cups soup
top each bowl with two toasted baguette slices and divide swiss cheese slices , laying them in a single layer , if possible , on bread
sprinkle each serving with about 2 tablespoons grated asiago cheese and broil until well browned and bubbly , 7 to 10 minutes
if using regular soup bowls , broil the toasts and the cheese only and then place the toasts on top of the soup
cool 5 minutes and serve",2008-12-18
14,92,spicy hot crackers,"i got this recipe from my sil, melinda.i'm kind of a wuss so i only use 1 tablespoon of the red pepper flakes but you can make these as hot as you like.","use a large ziplock storage bag
i use the 2 gallon size
add the oil , ranch dressing mix , red pepper flakes and crackers
tumble constantly for 15 minutes",2005-09-22
15,139,hawaiian cheesecake fruit salad,"heavenly rich and fruity, a great summer fruit bowl for a salad or even a dessert!","in a medium tall bowl , using an electric mixer , whip cream cheese until it becomes smooth
it may bind up in the beaters , but continue as is and it will loosen up
add the dry pudding mix
beat until well combined
with the mixer on low , slowly add the creamer to the cream cheese mix
add it about a tablespoon at a time and then mix until it becomes a smooth mixture and all of the creamer has combined into the cream cheese , repeat until all of the creamer has been added to the mixture
whip until smooth
in a large bowl , combine strawberries , oranges , pineapple , kiwi and mango
add the cheesecake mixture to the fruit
gently fold cheesecake mixture into fruit
in a small bowl combine the banana coins and the lemon juice
toss until well coated , drain the excess lemon juice
gently fold the banana into the cheesecake salad
chill until ready to serve or serve immediately
do not pour all of the creamer into the cream cheese at once
it will get clumpy and no matter how long you beat it , it will stay that way
if you have to substitute cream for the creamer , powdered sugar and vanilla would be the best swap
1 cup heavy cream , 1 / 4 cup powdered sugar and 2 teaspoons vanilla extract
to make this ahead: prepare the cheesecake mixture and refrigerate in a bowl
mix all of the fruit in a large bowl and refrigerate
before serving , drain any excess liquid from the fruit and then fold the cheesecake filling into the fruit
serve and enjoy !",2018-04-27
16,60,deep fried calamari  simple,"this is so easy! just like the restaurants in spain! the coating is crispy though not overbearing, and the calamari will be tender. the trick here is that the calamari needs to be cooked either super quick, or for a long time on a simmer for it to be tender. if you like fried calamari, you are going to love this recipe! makes 2 mains or 4 appetizer portions","dredge calamari rings in corn starch and shake off excess
the rings may be prepared in advance up to this point , and refrigerated
heat oil to fairly high heat
deep fry rings about 1 minute or until golden
drain on paper towels , and sprinkle lightly with salt
serve with lemon wedges and garlic mayo or marinara sauce for dipping",2002-10-06
17,88,danish puffs,"from ""simply delicious""- a cookbook of herberger's employee family recipes. submitted by sara sadler of st. paul, minnesota.","measure 1 cup flour into bowl and cut in 1 / 2 cup butter
sprinkle in 2 tablespoons water and mix with a fork
round into a ball and divide in half
pat dough in 2- 12""x13"" strips- strips should be 3 inches apart on ungreased cookie sheet
mix 1 / 2 cup butter and 1 cup water in saucepan- bring to a boil
add almond flavoring and remove from heat
stir in remaining flour immediately to keep from lumping
when smooth and thick , add one egg at a time and beat
divide in half and spread over pastry
bake at 350 degrees for 1 hour
frost with powdered sugar frosting of your choice",2005-07-14
18,128,buttery stuffed shrimp,"rich and delicious for an appetizer, or splurge and eat them all yourself for a romantic dinner for two. everything tastes good in candlelight.","butter 9""x13"" pan with 1 tbsp butter
peel , devein and butterfly shrimp
arrange in pan
combine bread crumbs , melted butter , lemon juice , water , cheese paprika , parsley and garlic , tossing to mix well
spoon 1-2 heaping tablespoons of stuffing on each shrimp , depending on the size of the shrimp
press stuffing onto shrimp gently
bake at 400 degrees for 10-12 minutes or until golden brown",2003-02-02
19,156,salmon with cucumber sauce,"easy, light, yummy!","heat the oven to 425f
line a rimmed baking sheet with foil
place the salmon on the baking sheet
mix the cumin , paprika and pepper in a cup and rub on the salmon
bake 10 minutes or until the salmon is cooked through
meanwhile , mix the rest of the ingredients in a bowl
serve on the fish",2002-08-26
20,25,pork chops with sour cream dill sauce,"this recipe was cut of some magazine, some time ago (its quite yellowed with age). the magazine's name does not appear on the cut out.","heat vegetable oil in large skillet over medium-high heat
season pork chops with salt and pepper
place 1 / 3 cup flour in shallow bowl
coat pork chops with flour , shaking off excess
add to skillet and cook until brown , about 4 minutes per side
transfer to platter
drain all but 1 tablespoon fat from skillet
add onion to skillet and saut until light golden , about 5 minutes
add paprika and crushed garlic clove and stir 30 seconds
mix in 3 / 4 cup chicken broth , marjoram and caraway seeds
simmer 3 minutes
return pork chops to skillet
cover and simmer until pork chops are almost cooked through , adding more chicken broth by tablespoonfuls if liquid evaporates , about 10 minutes per side
reduce heat to low
whisk 1 cup sour cream , chopped fresh dill and remaining 1 tablespoon flour in small bowl to blend
add to skillet and stir until pork chops are tender and sauce thickens , about 5 minutes",2004-09-07
21,122,freezer dinner rolls,"posted in response to a recipe request.  recipe from a fleischmann's bread recipe book that i ordered from the company in the '70s by sending in empty packets that yeast came in.  while i haven't tried this recipe, every other recipe i tried has been wonderful!  times listed do not include freezing or rising times.","in a large bowl thoroughly mix 2 cups flour , sugar , salt and active dry yeast
combine water , milk and margarine in a saucepan
heat until 120 to 130 degrees f
gradually add to dry ingredients and beat 2 minutes at medium speed of electric mixer , scraping bowl occasionally
add eggs and 1 / 2 cup flour
beat at high speed 2 minutes , scraping bowl occasionally
stir in enough additional flour to make a soft dough
turn out onto lightly floured board
knead until smooth and elastic , about 8 to 10 minutes
cover with plastic wrap , then a towel , let rest 20 minutes
punch down dough again
shape into desired shapes for dinner rolls
place on greased baking sheets
cover with plastic wrap and foil , sealing well
freeze until firm
transfer to plastic bags
to bake: remove from freezer
place on greased baking sheets
cover
let rise in warm place , free from draft , until doubled in bulk , about 1 1 / 2 hours
bake at 350 degrees f 15 minutes , or until golden brown and done
remove from baking sheets and let cool",2005-04-13
22,193,german cheesecake,"my aunt received this recipe when she was living in germany years ago.  it is awesome! hard to mess up, easy to change the flavor.  i can't eat store bought cheesecake anymore, because this recipe has me spoiled.  it is very important that the cream cheese be allowed to soften to room temperature so that the cheesecake will be creamy.  the recipe listed is for a plain cheesecake, you can make any flavor though, by using different extracts, or adding berries, chips, etc, or by topping with pie filling, etc.  i usually have a little bit of the crust left over.
i have found that the top doesn't crack in a 13x9 glass baking dish, but it does crack when baked in a springform pan.  if you aren't going to be topping it with something, you could throw a dish of water in the oven while the cheesecake is baking to help prevent the cracking.  i never do.","for the crust: cream butter , sugar , and egg
add flour
spread in the bottom of a 9"" spring form pan and bake for 5 minutes at 450 , remove and cool slightly
for the filling: cream the cream cheese , add sugar slowly , and vanilla
cream in eggs one at a time , add milk and flour
pour onto crust , and bake 10 minutes at 450
reduce the heat to 250 and bake an additional 60 minutes
cool to room temp , then refrigerate until chilled
serve cold",2007-09-11
23,80,fruity rice casserole,one of the easiest and most delicious recipes i have ever found.,"lightly oil a covered casserole
put ingredients into dish in order listed
cover and bake at 350 degrees f for 1 1 / 2 hours or longer
there are a lot of options to this dish: it can easily be doubled
add a diced onion after the pineapple and change the seasoning to curry and garam masala , for indian flavor
if you don't have pineapple , fruit cocktail will do , as will peaches , or any other canned fruit
yams can easily become winter squash
prunes work well , as do dried apricots
feel free to experiment
this recipe is a starting point for your imagination",2003-01-28
24,109,easy homemade tortilla chips,"use these chips to top your tortilla soup, or use them for dipping in salsa or your favorite tortilla dip. they're very easy to make, but must be watched closely to keep from burning.","preheat oven to 425 degrees
lightly spray cookie sheet and set aside
spray each tortilla shell lightly on each side
sprinkle lightly with popcorn salt
using kitchen scissors , cut into one inch wide strips or cut into wedges
put on cookie sheets in one layer , laying as close to each other as possible without overlapping
bake at 425 degrees for just a few minutes till they turn a very light brown
remove and enjoy hot or cold",2003-03-24
25,98,way too easy choc orange  jaffa  cake,"this is a tribute to my ""other mother""...ya know, the one ya would've chosen, given the chance. 
the extra cocoa can be omitted but we like ours   very chocolatey.","in a large bowl mix cocoa into dry cake mix
chop well washed orange in 6-8 chunks , discard seeds , blitz orange til mushy
in separate bowl whisk eggs , salad oil , orange juice til combined
pour wet ingredients into cake mix , add orange mush and beat all for 4-5 minutes
if it seems a litte dry add water a few drops at a time
mixture should ""ribbon"" off beaters
pour into buttered and floured bundt pan , thump to settle
bake for 30-40 minutes at 350
test before removing from oven
leave to cool before turning out
frost or glaze with choc orange frosting",2006-07-31
26,150,goat cheese  potato   onion tart,"this tart is easy to make, looks stunning and tastes wonderful. best of all, you can make it ahead and reheat from frozen. how to freeze: let the tart cool completely in the tin, then pack in a freezer bag. seal and freeze for up to 1 month. to serve, unwrap and thaw at room temperature for 4 hrs, then reheat at 350f for 20 mins.","heat oven to 375f roll out the pastry so it is large enough to fit a deep 9in loose-bottomed tart tin , then line the tin with the pastry
chill for 30 minutes line the pastry with greaseproof paper , fill with baking beans and bake for 15 minutes remove the paper and beans and return the tin to the oven for 5 mins until golden , then remove and set aside
reduce oven to 350f
heat the butter and oil in a large frying pan , add the onions and potato and cook over a very gentle heat for 15-20 mins , turning occasionally , until golden and tender
season , then add the garlic and thyme leaves , and cook for a further 3 minutes
whisk the eggs and crme frache together , season if you want to , then pour into the pastry case and bake for 30-35 mins until lightly golden brown and just set in the centre
serve warm",2009-02-28
27,63,my mama s sweet potato pie,"this is the recipe my mother gave me for her delicious sweet potato pie.  because it is a ""mama"" recipe, the measures are approximate and vary based on your taste and the natural sweetness and moisture of the sweetpotatoes","preheat oven to 350
dock thawed crust with a fork all over , bake for 10 minutes or until golden , set aside
boil or bake potatoes until soft
peel potatoes while still warm and whip with a hand mixer to remove the strings
add butter , then mix
add sugar next
then add remaining ingredients
taste for sweetness
and pour into crusts
bake for 20-30 minutes or until set",2007-06-27
28,26,tex mex scramble,"great for breakfast, and brunches. think outside the bell.","brown sausage in a large skillet over medium heat , stirring occasionally
drain off fat , and crumble
add all other ingredients except tortillas , chili , and cheese
simmer 20 minutes or until onions and green pepper are tender
heat chili in a small saucepan over medium heat
keep warm
warm tortillas in microwave briefly , between paper toweling
place tortilla on plate , put 1 cup sausage mixture on tortilla and fold up
top each tortilla with some chili , then a little shredded cheese , and a tbsp of olive slices , if desired
serve hot",2002-08-23
29,43,spicy cucumber salad,"this is a thai condiment that goes well with satay. satay is a thai shishkabob, chicken or beef that dipped in peanut sauce and bbq'd","cut cucumbers in half lengthwise and remove seeds
slice the cucumbers thinly
place cucumbers , onions and chillies in a bowl
combine remaining ingredients and drizzle over the salad
toss well ,
garnish with the peanuts & serve",2001-06-30
30,40,cranberry curd,"this is straight out of ""how to be a domestic goddess,"" though i'd love to take credit for it. it's so delicious. admittedly, it makes way too much; i usually make a half-batch. i especially like this as a topping for italian cheesecake. yum!","put the cranberries and water in a saucepan , cover , and cook on low heat until tender and popped
pass cranberries through a food mill of press through a sieve and put the puree back in a saucepan
add the butter and sugar , melting gently
beat the eggs , then strain them into the fruit
stir constantly over medium heat until thickened , being careful not to curdle the mixture
let cool , then pour into 5 1 / 2 pint jars",2006-07-04
31,146,chicken in olive red wine sauce,elegant low carb italian chicken dinner.,"in a skillet , cook bacon with onion , garlic , pepper , and rosemary over medium-high heat , stirring occasionally , until bacon is crisp
remove bacon with slotted spoon
set aside
add chicken to pan
cook , turning frequently , until chicken is browned
add olives , wine , and bacon
cover and cook until juice of chicken is no longer pink when centers of thickest pieces are cut
place chicken on serving platter
sprinkle with croutons and parsley",2005-04-16
32,188,luscious lemon cheesecake,it's amazing that so few ingredients can make such a delicious cheesecake. really easy.,"combine graham cracker crumbs with melted butter and press on the bottom of a 9"" springform pan
beat cream cheese and sugar until smooth
add eggs one at a time and mix until just blended
stir in zest and juice from lemon
pour mixture into crust and bake at 350 degrees for 45 to 50 minutes or until center is almost set
cool completely , then refrigerate for a minimum of 3 hours
top with cool whip and garnish with lemon slices",2003-05-05
33,191,tourain du perigord   garlic soup from the perigord,"this soup warms you to your core!
use a thick grained white bread, nothing too fluffy.
a variation of this soup is to cook a bowl full of sorrel with the garlic, and proceed with the rest of the directions.  (btw - this soup is also used to prevent hangovers!)","heat the butter or goose fat in a soup pot , and add in the chopped garlic
cook till the garlic is a little golden , then add the flour , stirring
this makes a roux that will slightly thicken the soup
add the chicken stock , or water with the chicken bouillon cubes , and heat this over medium high heat for about 10 minutes
take a normal size wine glass , and fill half of it with white vinegar
separate the two eggs , putting the yolks in with the vinegar , and the whites into a bowl
blend the vinegar and egg yolks in the wine glass with a little spoon , and pour this into the soup pot , stirring
this further thickens the soup
pour dry white wine into the wine glass to make it half full
pour this into the soup pot , stirring
medium high heat
now , take a fork and fork through the egg whites in the bowl
pour the whites into the soup pot , stirring
the whites cook in the liquid
add salt and pepper to the pot
ladle the soup into soup bowls into which the diners have put a slice or two of bread
be sure everyone gets some egg white as you ladle up the soup",2007-06-06
34,126,asian grilled salmon   low carb   fabulous,this amazing recipe was shared on a low-carb (diabretic lifestyle) group i'm part of. we love this!,"place salmon fillets in a large zip-loc style plastic bag
in a small bowl , whisk together remaining ingredients and pour over salmon
seal bag and refrigerate for at least 8 hours
preheat grill
remove salmon from marinade and place on a well-oiled grill five inches from heat source
grill for 5-10 minutes , until fish flakes easily when tested w / a fork",2005-08-31
35,177,weight watchers chicken and rice stuffed bell peppers,6 points. makes 10 servings.*note: substitute low-fat cheddar cheese for cheddar cheese and cut to 5 points.},"melt margarine or butter in a large saucepan over medium heat
add celery and cook about 5 minutes or till tender
stir in condensed mushroom soup , water or broth , and onion soup mix
heat till bubbly
stir in chicken
heat through
stir in rice
remove from heat
to assemble , halve peppers length-wise
remove stems , seeds , and membranes
place pepper halves , cut sides up , in a large shallow baking or roasting pan
divide chicken mixture among the pepper halves
sprinkle with lemon-pepper seasoning
cover and refrigerate up to 24 hours
to serve , bake peppers , loosely covered with foil , in a 350 oven about 55 minutes or till heated through
top with cheese and pimiento
bake , uncovered , about 5 minutes more or till cheese is just melted
}",2008-06-05
36,147,corn jalapeno casserole,this casserole can be made as ,"combine all ingredients
cook , covered , at 350 degrees for 30 minuted",2003-12-06
37,139,sour cream butter horns,"this cookie is a traditional favorite on the family cookie platter.  have time to make this cookie, as the dough needs to be chilled 4 hrs-overnight.","cut margarine into flour
add egg yolk and sour cream
shape into 4 balls and let them chill in the refrigerator
roll balls into a circle so the dough is thin
combine the sugar , cinnamon , and walnuts in a separate bowl
sprinkle the dough with the nut mixture
cut the dough into 16 triangle pieces
roll each section
once placed on cookie sheet , brush with the egg white and if desired , sprinkle a little bit of the nut mixture on top
bake 25 min at 350",2006-12-18
38,173,herb butter,"spread on fresh crusty baguettes, italian breads, and dinner rolls. also goes well on steamed veggies and baked potatoes.","make sure butter is sufficiently warm enough to spread
blend herbs into butter , mixing well
season to taste with salt and pepper
chill in sealed container",2002-05-04
39,45,gingered roast butternut squash,"a simple recipe - if you've done the prep ahead of time, it's one that you can finish in the oven while your holiday ham or turkey is resting before it's carved. from woman's day.","preheat oven to 450 deg
line a large shallow baking pan with nonstick foil
cut the squash into 3 / 4 inch thick slices and then into 1 1 / 2 inch wedges
place in a large bowl
combine the marmalade , butter and ginger in a microwave safe dish
microwave on high for 1 minute and stir until all melted together
toss with the squash and place in the baking pan in a single layer
roast 25 to 30 minutes or until the squash is tender and glazed
serve warm or at room temperature
you can cut up the squash a day ahead , and store in a large plastic bag
you can also make the marmalade glaze a day ahead and refrigerate - warm up in the microwave and proceed with step 4",2009-11-10
40,190,fiery chicken,"taken from ""the low-carb comfort food cookbook.""
you can vary the heat by adjusting the amount of tabasco you use.","preheat oven to 350
butter or oil an ovenproof baking pan large enought to accommodate the chicken pieces
wash chicken and pat dry with paper towels
place chicken in greased baking dish
in a cup or small bowl , combine the sour cream , tabasco sauce , celery salt , and pepper
spread this cream mixture evenly over the chicken
cover baking dish with foil or a tight-fitting lid and back 50 minutes to 1 hour
serve immediately",2005-08-09
41,61,crawfish  shrimp  and corn soup,"hubby had this soup in new orleans when we were visiting friends. he loved it, and asked for the recipe. he has made it several times since then, usually when he is ""on his own"" for dinner (its very easy to prepare). being a vegetarian--i've never tried it, so i don't have an opinion.","in a large pan , over medium heat , saut onions and mushrooms in butter and a little garlic powder until tender
soften cream cheese in microwave , and add to onions and mushrooms
lower heat to medium-low and add soups and corn , stir well
add crawfish or shrimp and half-and-half
season to taste with tabasco sauce and tony's creole seasoning
cook for about 20 to 25 minutes",2002-08-13
42,52,low cal vegetable siew mai,an excellent low cal vegetarian recipe that was on tv today. it must be my ,"put all the veggies , white pepper powder , red chilli powder , salt and sesame oil in a bowl and mix well
stuff this mixture into 8-10 wanton skins , making sure you seal it carefully so that the mixture does not fall out
garnish each with tomato pieces
if you dont get the wanton skins in the market , prepare these at home by making a tight dough of all-purpose flour and water
once the dough is made , cut it in circles and then its ready to use
steam these little treats in an idli steamer or a bamboo basket for 3-4 minutes
serve hot with ketchup !",2002-07-29
43,189,neely s short ribs,"neeley's short ribs.
i put this here for safe keeping","directions
preheat the oven to 350 degrees f
heat about 2-tablespoons of the olive oil in a large dutch oven over high heat
season the short ribs well with salt and pepper
over medium heat , brown ribs for 6 minutes on each side
you will need to do this in batches
remove the browned short ribs to a plate and repeat with remaining ribs and oil
add onion , carrots , garlic , celery , and salt and pepper to the dutch oven and saute until softened , about 5 minutes
add the tomato paste and wine to the vegetables and cook , stirring , about 1 minute
add the stock , diced tomatoes , thyme , and bay leaf
return the browned short ribs and any juices that have accumulated back into the dutch oven
add orange zest
cover with a heavy lid and place in the oven and braise for 3 hours or until the meat is very tender
once the ribs are tender , remove the ribs to a platter
taste for seasoning
add salt and pepper , to taste
serve the short ribs over the stone ground grits , if desired
garnish with fresh chopped parsley",2009-07-14
44,113,savory pecans,,"heat oven to 300
mix all ingredients
spread pecan mixture in ungreased jelly roll pan
bake for about 10 minutes or until pecans are toasted
i like to serve them warm , but they are good cold as well",2003-04-15
45,123,crock pot beef roast,"i've put together a few different recipes to come up with something our family likes. hope you enjoy it too!

*i usually cut my potatoes into eighths unless they are small potatoes.

*using the crockpot on a low setting makes the meat so much more tender. 

*i have a 6 quart crockpot, so i can fit a lot into it.","put potatoes , carrots and onion on bottom of crockpot
place the roast on top , fat side up
pour in water or beef broth
sprinkle chives , parsley , pepper and onion soup mix over the meat
pour worcestershire sauce and mushroom soup over meat
cover and cook on low 8-10 hours
add the rest of the ingredients the next morning and cook until dinnertime ! if done this way , you can easily remove the fat layer in the morning before adding the other ingredients",2009-08-10
